Title,Summary,Link
Post-preeclampsia Renal Project: Study of Nephroprotection in Women Having Suffered Preeclampsia,"The purpose of the Post-preeclampsia Renal Project is to investigate the renal function of preeclamptic women after delivery, and to determine whether the anti-hypertensive drug named benazepril efficiently improves the dysfunctions observed.",https://clinicaltrials.gov/study/NCT01095939
Adjustment of Antibiotic Dosage in Pediatric Oncology Patients With Febrile Neutropenia and Augmented Renal Clearance,"This clinical trial focuses on children with cancer who face infections after receiving chemotherapy. Chemotherapy affects the bone marrow, leading to a decrease in the production of certain white blood cells, particularly those that defend against bacterial infections (neutrophils). One significant concern is febrile neutropenia, where children experience a fever during a period of low white blood cell count. This condition often results from bacterial infections, necessitating prompt wide-spectrum antibiotic treatment. However, some children eliminate antibiotics in the urine too quickly during febrile neutropenia. Their kidneys function more than they normally do (renal hyperfiltration). This can lead to insufficient exposure to antibiotics to control the infection. The current standard antibiotic regimens do not account for this variable elimination rate. In this study we focus on two antibiotics used in this context: piperacillin-tazobactam and meropenem.

The main questions this study aims to answer are, in these children:

* Would higher doses of antibiotics result in better blood levels of antibiotics?
* Would they have more sides effects with higher antibiotics dosages?
* Would they recover more quickly with higher antibiotic doses? All patients will undergo a blood test upon hospital arrival, including an assessment of renal function. If renal function is normal or diminished, the patient will receive the standard antibiotic dose. Children with increased renal function will be randomly assigned to two groups during each episode of febrile neutropenia. One group will receive standard antibiotic dosages, while the other will receive higher doses to compensate for renal hyperfiltration. Throughout the study, antibiotic levels in the blood will be monitored for all patients. This monitoring will determine if target concentrations can be achieved more quickly with experimental dosages and will allow doctors to readjust the doses if needed.",https://clinicaltrials.gov/study/NCT06293677
"Efficacy and Safety of LCZ696 Compared to Valsartan, on Morbidity and Mortality in Heart Failure Patients With Preserved Ejection Fraction",The purpose of this study was to evaluate the effect of LCZ696 compared to valsartan in the reduction of cardiovascular death and heart failure(HF) hospitalizations in patients with HF with preserved ejection fraction.,https://clinicaltrials.gov/study/NCT01920711
"ABC-lung: Atezolizumab, Bevacizumab and Chemotherapy in EGFR-mutant Non-small Cell Lung Carcinoma","ETOP 15-19 ABC-lung is an international, multi-centre open-label, randomized phase II trial with two non-comparative parallel arms of atezolizumab plus bevacizumab with carboplatin-paclitaxel (Arm A) or atezolizumab, bevacizumab and pemetrexed (Arm B) in patients with stage IIIB-IV non-squamous non-small cell lung cancer (NSCLC) harbouring EGFR mutations after failure of standard EGFR tyrosine kinase inhibitors (TKIs).",https://clinicaltrials.gov/study/NCT04245085
Effect of Sotagliflozin on Cardiovascular and Renal Events in Participants With Type 2 Diabetes and Moderate Renal Impairment Who Are at Cardiovascular Risk,"The primary objective of the study was to compare the effect of sotagliflozin to placebo on total occurrences of cardiovascular (CV) death, hospitalization for heart failure \[HHF\], and urgent visit for heart failure \[HF\] in participants with type 2 diabetes, cardiovascular risk factors, and moderate to severely impaired renal function.",https://clinicaltrials.gov/study/NCT03315143
Effect of Protein Supplementation on Plasma Sodium Levels and Urinary Urea Excretion in Patients With SIAD,"This study aims to investigate whether a 7-day dietary high protein supplementation of 90 grams per day increases plasma sodium levels in hyponatremic patients with chronic SIAD.

Enrolled patients will receive first dietary high protein supplementation for one week. After a wash-out phase of at least one week, the patients will receive oral urea for another week.",https://clinicaltrials.gov/study/NCT04987385
Urine CXCL10 Chemokine Monitoring Post-renal Transplant,"In this study investigators will investigate whether early treatment of allograft rejection, as detected by urine CXCL10-monitoring, improves outcomes in renal allograft recipients.",https://clinicaltrials.gov/study/NCT03140514
Trial of RNActive®-Derived Cancer Vaccine and Local Radiation in in Stage IV Non Small Cell Lung Cancer (NSCLC),"The purpose of this study is to determine whether the new RNActive derived lung cancer vaccine CV9202 in combination with local radiation therapy is safe, tolerable and immunogenic for the consolidation and maintenance treatment of stage IV non small cell lung cancer (NSCLC) after first-line chemotherapy or therapy with an EGFR tyrosine kinase inhibitor.",https://clinicaltrials.gov/study/NCT01915524
HERTHENA-Lung02: A Study of Patritumab Deruxtecan Versus Platinum-based Chemotherapy in Metastatic or Locally Advanced EGFRm NSCLC After Failure of EGFR TKI Therapy,Disease progression is typical for patients with epidermal growth factor receptor mutated (EGFRm) non-small cell lung cancer (NSCLC). Standard platinum-based chemotherapy offers limited efficacy and an unfavorable safety profile.There is an urgent need for more effective and tolerable therapies for patients with EGFRm NSCLC who have exhausted available targeted therapies. Clinical evidence suggest that patritumab deruxtecan constitutes a promising investigational therapy for patients with EGFRm NSCLC.,https://clinicaltrials.gov/study/NCT05338970
Pembrolizumab (MK-3475) Plus Chemotherapy Versus Placebo Plus Chemotherapy in Participants Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma (MK-3475-859/KEYNOTE-859),"The purpose of this study is to evaluate the efficacy of pembrolizumab (MK-3745) in combination with chemotherapy (Cisplatin combined with 5-Fluorouracil \[FP regimen\] or oxaliplatin combined with capecitabine \[CAPOX regimen\]) versus placebo in combination with chemotherapy (FP or CAPOX regimens) in the treatment of human epidermal growth factor receptor 2 (HER2) negative advanced gastric or GEJ adenocarcinoma in adult participants.

The primary hypotheses of this study are that pembrolizumab plus chemotherapy is superior to placebo plus chemotherapy in terms of overall survival (OS).",https://clinicaltrials.gov/study/NCT03675737
"Amivantamab, Lazertinib and Bevacizumab in Patients With EGFR-mutant Advanced Non-small Cell Lung Cancer With Progression on Previous Third-generation EGFR-TKI","AMAZE-lung is a multicenter single-arm phase II trial. The protocol treatment consists of amivantamab, lazertinib and bevacizumab (Zirabev®), given in a three-weekly regimen. The primary objective of the trial is to assess the efficacy of amivantamab and bevacizumab added to continued treatment with the third-generation EGFR-TKI lazertinib, in patients with EGFR-mutant advanced NSCLC, who have been previously treated with a third-generation EGFR-TKI in order to provide data on treatment effect and sample size required for a future phase III trial.

In addition, the safety of the treatment combination will be evaluated.",https://clinicaltrials.gov/study/NCT05601973
Advancing Renal TRANSplant eFficacy and Safety Outcomes With an eveRolimus-based regiMen (TRANSFORM),"This is a 2-year, randomized, multicenter, open-label, 2-arm study evaluating the graft function of everolimus and reduced CNI versus MPA and standard CNI in adult de novo renal transplant recipients.",https://clinicaltrials.gov/study/NCT01950819
Time-restricted Eating in Patients With Moderate Chronic Kidney Disease and Albuminuria,"Chronic kidney disease (CKD) affects approximately 12 to 15% of adults worldwide, with an increasing incidence expected. Major causes include diabetic nephropathy, hypertension, and various glomerulonephritis. Proteinuria is a key factor in identifying and assessing the risk of CKD progression.

The precise pathophysiology of CKD is not fully understood, but recent research highlights metabolic alterations, particularly in lipid and glucose metabolism. CKD progression is influenced by diet, as evidenced by recent studies. Interventions such as the ketogenic diet and time-restricted feeding show promising results in improving metabolism and may have beneficial effects on CKD.

Our study aims to evaluate the impact of time-restricted eating (TRE) on proteinuria, the decline in glomerular filtration rate, and weight loss in patients with moderate CKD with albuminuria (KDIGO stage 2-3). This will allow us to better understand the efficacy of this dietary approach tailored to the individual habits of participants.

The primary outcome measure will be albuminuria before and after the 12-week intervention. Secondary outcome measures will include the impact of fasting on blood pressure as assessed by 24-hour ambulatory monitoring, body composition evaluated by DXA and BIA, continuous glucose monitoring, and blood hormone profiles. Additionally, the feasibility and safety of TRE in this population will be assessed.",https://clinicaltrials.gov/study/NCT06618859
Adult Study: ABT-414 Alone or ABT-414 Plus Temozolomide vs. Lomustine or Temozolomide for Recurrent Glioblastoma Pediatric Study: Evaluation of ABT-414 in Children With High Grade Gliomas,"This study was conducted to evaluate the efficacy and safety of depatuxizumab mafodotin (ABT-414) alone or with temozolomide versus temozolomide or lomustine alone in adult participants with recurrent glioblastoma. The study also included a substudy to evaluate safety, tolerability and pharmacokinetics of ABT-414 in a pediatric population.",https://clinicaltrials.gov/study/NCT02343406
Physical Exercise and Biomolecular Analysis to Reduce Uremic Toxins in Chronic Kidney Disease: An Exploratory Study,"The accumulation of uremic toxins is detrimental to physiological systems and induces premature biological aging. Renal function assessment methods, such as predictive formulas, may be influenced by ancestry in Brazilians, given the country's ethnic diversity, resulting in inaccurate estimates. On the other hand, physical exercise is an important ally in treating chronic kidney disease (CKD) as it induces metabolic changes that help slow the disease's progression. Additionally, the anti-aging effect conferred on those who engage in physical exercise is widely recognized. However, investigations into the impact of physical exercise on the concentration of uremic toxins and biological aging in patients with chronic kidney disease and their relationship with ancestry are still in the early stages and inconclusive. The investigators aim to track uremic toxins, exerkines, genetic aspects, nutritional profile, physical fitness, body composition, and the effects of different types of physical training (periodized and progressive) in people with chronic kidney disease at various stages. Additionally, to verify associations between these factors and their effects on different physiological systems. This is a triple-blind randomized clinical trial, with a 10-year follow-up of patients. The sampling will be non-probabilistic in terms of accessibility or convenience. Adult volunteers of both biological sexes aged 18 or older, with chronic kidney disease in conservative treatment (stages 2, 3, 4, and 5, n\~400), patients undergoing renal replacement therapy (hemodialysis or peritoneal dialysis, n\~800), and transplant recipients (n\~400) will be recruited from different hemodialysis centers. After being grouped by disease stage, patients will be randomized according to pre-training variables and then allocated to the following groups: control group (CTL; at least n\~100), strength training (ST; at least n\~100), aerobic training (AT; at least n\~100), and combined training (CT; at least n\~100). The patients will undergo evaluations of body composition, cardiorespiratory capacity, muscle strength, autonomic nervous system function, and nutritional, psychological, and biomolecular assessments. The training protocols will be adjusted according to the patient's physical capacity, always considering periodization and progression.",https://clinicaltrials.gov/study/NCT06910475
SWIDINEP a Swiss Diabetic Nephropathy Cohort,"With our SWIDINEP cohort, we propose to explore the relationship between vascular risk markers and renal function decline in CKD stage 1-5. In order to realize these goals, we intend to recruit 200 patients within a 7y recruitment period (2014-2021). Recruitment is done in the nephrology and diabetes ambulatory clinics in the CHUV at Lausanne. Each eligible patient is identified and whether he/she can be proposed the study is discussed with the physician in charge of the patient. Once the patient is informed and has signed the consent form, he/she is examined in the Service of Nephrology at baseline, 2y and 5y.",https://clinicaltrials.gov/study/NCT03407989
Canakinumab in Patients With COVID-19 and Type 2 Diabetes,The purpose of this study is to evaluate whether Canakinumab has beneficial effects on patients with Type 2 diabetes mellitus and coronavirus disease 19 (COVID19).,https://clinicaltrials.gov/study/NCT04510493
"Phase II Study of Concomitant Intensity-modulated Radiotherapy Combined to Capecitabine, Mitomycin and Panitumumab in Patients With Stage II-IIIB Squamous-cell Carcinoma of the Anal Canal","There is increasing evidence of a role of EGFR, treatment with EGFR-inhibitors in anal cancer and synergies of EGFR-inhibitors with radiotherapy. Addition of the human anti-EGFR antibody Panitumumab to chemoradiotherapy seems therefore solidly justified. This trial investigates concurrent panitumumab/capecitabine/mitomycin concurrent to IMRT-radiotherapy. Treatment components used in this study have been selected on scientific rationale. The trial regimen should be feasible with acceptable toxicity and outcome similar to historic series.",https://clinicaltrials.gov/study/NCT01843452
Single-center Investigator Initiated Pilot Study Investigating the Tumor Response of Squamous Cell Carcinoma Lesions in Patients Under Lapatinib Treatment,"Primary cutaneous squamous cell carcinomas (SCCs) are epithelial carcinomas with a high frequency of EGF-R expression. EGFR is an important regulator of tumour progression and proliferation in several types of cancer. Mechanism of action of Lapatinib in the EGFR and/or HER2 expressing oesophageal squamous cell carcinoma (ESCC) cells is attributed to inhibition of cell proliferation and induction of apoptosis. Based on the data from oesophageal SCCs the investigators hypothesise that EGFR signalling pathway and its interactions play an important role in the SCC pathogenesis and represent a good therapeutic target from these tumours.

Primary Objectives:

To evaluate the tumour response macroscopically in patients with primary cutaneous SCC lesions and in concomitant SCC in situ (AK).

Secondary Objectives:

* To evaluate tolerability of a single dose regimen of systemic lapatinib therapy in patients with SCC as measured by time to first AE or SAE within the study period.
* To investigate the molecular tumour response of squamous cell carcinoma lesions in patients under lapatinib treatment using a set of variables.
* Trial with medicinal product",https://clinicaltrials.gov/study/NCT01666431
Aliskiren Trial in Type 2 Diabetes Using Cardiovascular and Renal Disease Endpoints (Core and Extension Phases),"The purpose of this study was to determine whether, in patients with type 2 diabetes and pre-existing disease of the heart and the circulatory system and/or the kidney, aliskiren at a target dose of 300 mg once daily (compared to placebo), on top of conventional treatment, reduces death and disease caused by the heart, the circulatory system and the kidney.

AMENDMENT 4 RATIONALE (MARCH 2012) :

Protocol amendment 4 served to address the data monitoring committee recommendation dated 14 Dec 2011 to discontinue study treatment in all participating patients. It also addressed the subsequent Health Authorities request to implement a 12 month safety follow-up period (actual duration was 9 months in average) post study drug discontinuation.",https://clinicaltrials.gov/study/NCT00549757
Substudy 06C: A Study of Sacituzumab Tirumotecan (MK-2870) With Pembrolizumab (MK-3475) and Chemotherapy in Participants With First-Line Locally Advanced Unresectable/Metastatic Gastroesophageal Adenocarcinoma (MK-3475-06C/KEYMAKER-U06),"This is a phase 1/2, multicenter, open-label umbrella platform study that will evaluate the safety and tolerability of sacituzumab tirumotecan with pembrolizumab and fluoropyrimidine chemotherapy for the first-line (1L) treatment of participants with locally advanced unresectable or metastatic human epidermal growth factor receptor 2 (HER2)-negative gastric, gastroesophageal junction, or esophageal adenocarcinoma.

This substudy will have two phases: a safety lead-in phase and an efficacy phase. The safety lead-in phase will be used to evaluate the safety and tolerability, and to establish a recommended Phase 2 dose (RP2D) for sacituzumab tirumotecan in combination with chemotherapy and immunotherapy. There is no formal hypothesis in this study.",https://clinicaltrials.gov/study/NCT06469944
Herceptin Followed by Chemotherapy in Treating Women With Metastatic Breast Cancer That Overexpresses HER2,"RATIONALE: To compare efficacy, toxicity and quality of life of the sequential administration of Her alone followed, at PD, by the combination with Chemotherapy (Arm A) vs. the upfront combination of Her and Chemotherapy (Arm B) in patients with advanced/metastatic breast cancer.

PURPOSE: Trial SAKK 22/99 addresses clinically relevant and currently unresolved questions regarding the optimal use of Herceptin in the treatment of patients with advanced/metastatic breast cancer.",https://clinicaltrials.gov/study/NCT00004935
Study of IFX-1 to Replace Steroids in Patients With Granulomatosis With Polyangiitis and Microscopic Polyangiitis.,The purpose of the study is to evaluate the efficacy of IFX-1 treatment as replacement for glucocorticoid (GC) therapy in subjects with polyangiitis (GPA) or microscopic polyangiitis (MPA).,https://clinicaltrials.gov/study/NCT03895801
"Safety, Pharmacokinetics and Pharmacodynamics of BKM120 Plus MEK162 in Selected Advanced Solid Tumor Patients","This is an open label, dose finding, phase Ib clinical trial to determine the maximum tolerated dose (MTD) and/or the recommended phase II dose (RP2D) of the orally administered phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120 in combination with the MEK1/2 inhibitor MEK162. This combination will be explored in patients with epidermal growth factor receptor (EGFR) mutant non-small cell lung cancer (NSCLC) which has progressed on EGFR inhibitors and triple negative breast cancer, as well as pancreatic cancer, colorectal cancer, malignant melanoma, NSCLC, and other advanced solid tumors with KRAS, NRAS, and/or BRAF mutations. Dose escalation will be guided by a Bayesian logistic regression model with overdose control. At MTD or RP2D, two expansion arms will be opened in order to further assess safety and preliminary anti-tumor activity of the combination of BKM120 and MEK162.

Study drugs will be administered once daily orally on a continuous schedule. A treatment cycle is defined as 28 days.",https://clinicaltrials.gov/study/NCT01363232
Precision Medicine in Cardiovascular Surgery Associated Acute Kidney Injury,"The goal of this prospective observational study is to define a risk profile for cardiovascular surgery associated acute kidney injury (AKI), using clinical patient characteristics, operation parameters as well as blood and urine laboratory values.

The main question it aims to answer is:

• Does a combination of the factors mentioned above better predict patient outcome than classical factors used to date in clinical practice?

Participants of this study are adults aged 18 and above who are scheduled for elective heart or main artery surgery, and who have given written informed consent.",https://clinicaltrials.gov/study/NCT06471621
Phase III Study to Assess AZD9833+ CDK4/6 Inhibitor in HR+/HER2-MBC With Detectable ESR1m Before Progression (SERENA-6),"The study is intended to show superiority of AZD9833 in combination with CDK4/6 inhibitor (palbociclib, abemaciclib or ribociclib) versus aromatase inhibitors (anastrozole or letrozole) in combination with CDK4/6 inhibitor in patients with hormone receptor-positive (HR-positive), human epidermal growth factor receptor 2-negative (HER2-negative) metastatic breast cancer with detectable ESR1 mutation.",https://clinicaltrials.gov/study/NCT04964934
Study of Efficacy and Safety of Iptacopan in Patients With C3 Glomerulopathy.,"The Primary Completion Date and Study Completion Date have been updated to reflect completion of the adolescent cohort, which has been added to the protocol.

The study is designed as a multicenter, randomized, double-blind, parallel group, placebo-controlled study to evaluate the efficacy and safety of iptacopan (LNP023) in complement 3 glomerulopathy.",https://clinicaltrials.gov/study/NCT04817618
Short-term Exposure to High Altitude in Patients With Asymptomatic Aortic Stenosis,"Aortic stenosis is a common disease with increasing prevalence due to an aging population. Aortic valve replacement is indicated for symptomatic severe aortic stenosis. Leisure activities and tourism at high altitude destinations are popular but may impose a higher risk to patients with aortic stenosis. Pathophysiological considerations led to an expert consensus to avoid high altitude exposure, though there is no robust scientific evidence.

Hence, the objective of this study is to evaluate the safety of high altitude exposure in patients with asymptomatic moderate or severe aortic stenosis by the measurement of surrogate markers for cardiac adverse events such as the decrease in exercise capacity, the assessment of changes in cardiac filling pressures, cardiac dimensions and function, and the evaluation of the incidence of cardiac arrhythmia.",https://clinicaltrials.gov/study/NCT06894550
"Efficacy, Safety, Tolerability of Gefitinib as 1st Line in Caucasian Patients With EGFR Mutation Positive Advanced NSCLC",This study is carried out to see how Caucasian patients with lung cancer which has EGFR mutation will respond to gefitinib (IRESSA™) as a first line treatment. Safety data will also be collected and analysed to confirm that treatment with gefitinib is safe and well tolerated.,https://clinicaltrials.gov/study/NCT01203917
A Study of Trastuzumab Emtansine in Comparison With Treatment of Physician's Choice in Participants With HER2-positive Breast Cancer Who Have Received at Least Two Prior Regimens of HER2-directed Therapy,"This randomized, multicenter, 2-arm, open-label study (TH3RESA) will evaluate the efficacy and safety of trastuzumab emtansine (T-DM1) in comparison with treatment of the physician's choice in participants with metastatic or unresectable locally advanced/recurrent human epidermal growth factor receptor 2 (HER2)-positive breast cancer. Eligible participants will be randomized to receive either trastuzumab emtansine 3.6 mg/kg intravenously every 21 days or treatment of the physician's choice. Participants continue to receive study treatment until disease progression or unacceptable toxicity occurs. This study is also known under Roche study protocol number BO25734.",https://clinicaltrials.gov/study/NCT01419197
Multicenter Study of Rociletinib Administered to Patients With Previously Treated Mutant EGFR Non-small Cell Lung Cancer,"The purpose of this study is to evaluate the safety and anti-tumor effect of rociletinib. The trial is open-ended, which means patients will continue to take rociletinib until the study doctor determines it is no longer beneficial for them.",https://clinicaltrials.gov/study/NCT02147990
Study to Investigate CSL112 in Subjects With Acute Coronary Syndrome,"This is a phase 3, multicenter, double-blind, randomized, placebo-controlled, parallel-group study to evaluate the efficacy and safety of CSL112 on reducing the risk of major adverse CV events \[MACE - cardiovascular (CV) death, myocardial infarction (MI), and stroke\] in subjects with acute coronary syndrome (ACS) diagnosed with either ST-segment elevation myocardial infarction (STEMI) or non-ST-segment elevation myocardial infarction (NSTEMI), including those managed with percutaneous coronary intervention (PCI) or medically managed.",https://clinicaltrials.gov/study/NCT03473223
Study of Izalontamab Brengitecan (BMS-986507) Versus Platinum-Pemetrexed for EGFR-mutated Non-small Cell Lung Cancer After Failure of EGFR TKI Therapy (IZABRIGHT-Lung01),A Study of Izalontamab Brengitecan (BMS-986507) versus Platinum-Pemetrexed for EGFR-mutated Non-small Cell Lung Cancer after failure of EGFR TKI Therapy,https://clinicaltrials.gov/study/NCT07100080
Efficacy and Safety of Aliskiren and Aliskiren/Enalapril Combination on Morbidity-mortality in Patients With Chronic Heart Failure,"The study will evaluate the efficacy and safety of both aliskiren monotherapy and aliskiren/enalapril combination therapy as compared to enalapril monotherapy, on morbidity and mortality in patients with chronic heart failure (NYHA Class II - IV.",https://clinicaltrials.gov/study/NCT00853658
A Study of T-DXd in Participants With or Without Brain Metastasis Who Have Previously Treated Advanced or Metastatic HER2 Positive Breast Cancer,"This is open-label, multicenter, international study, assessing the efficacy and safety of Trastuzumab deruxtecan (T-DXd) in participants with or without brain metastasis (BMs), with previously-treated advanced/metastatic HER2-positive breast cancer whose disease has progressed on prior anti-HER2-based regimens and who received no more than 2 lines/regimens of therapy in the metastatic setting (excluding tucatinib).",https://clinicaltrials.gov/study/NCT04739761
Metreleptin in Anorexia Nervosa,"The treatment of anorexia nervosa often proves to be difficult. There are no drugs that work specifically for the treatment of anorexia nervosa. Experimental administration of metreleptin (synthetically produced leptin) to patients with anorexia nervosa has produced positive results. This study tests the effect of metreleptin in comparison with placebo, which could potentially make treatment easier. The aim of the study is to investigate whether treatment with metreleptin can help to reduce the symptoms of anorexia nervosa and improve mood and weight.",https://clinicaltrials.gov/study/NCT06305182
Bosutinib For Autosomal Dominant Polycystic Kidney Disease,This purpose of this study is to determine if bosutinib reduces the rate of kidney enlargement in subjects with autosomal dominant polycystic kidney disease (ADPKD) entering the study with a total kidney volume greater than or equal to 750 cc and eGFR greater than or equal to 60 mL/min/1.73m2.,https://clinicaltrials.gov/study/NCT01233869
Testing of Drugs Erlotinib and Docetaxel in Lung Cancer Patients Classified Regarding Their Outlook Using VeriStrat®.,"Using a laboratory test (VeriStrat), patients with relapsed squamous cell lung cancer are assigned to two strata, VSG (VeriStrat Good) and VSP (VeriStrat Poor). They are then randomized between an EGFR-TK inhibitor (erlotinib) and chemotherapy (Docetaxel).

It is hypothesized that the VeriStrat test results are able to predict the benefit of treatment with erlotinib vs docetaxel. This would suggest a significant improvement in progression-free survival for VSG patients when treated with Erlotinib, and no significant improvement in VSP patients who receive the same treatment.",https://clinicaltrials.gov/study/NCT01652469
BELIEF (Bevacizumab and ErLotinib In EGFR Mut+ NSCLC),"Rationale:

Advanced non-small-cell lung cancer (NSCLC) patients harbouring epidermal growth factor receptor (EGFR) mutations (del19 or L858R) show an impressive progression-free survival between 9 and 14 months when treated with erlotinib. However, the presence of EGFR mutations can only imperfectly predict outcome. The investigators hypothesize that progression-free survival could be influenced both by the pretreatment EGFR T790M mutation and by components of DNA repair pathways.

The investigators propose a model of treatment whereby patients with EGFR mutations (single or with T790M) can attain a benefit with longer overall PFS when treated with erlotinib plus bevacizumab. When the patients are grouped by BRCA1 mRNA levels and T790M the hypothesis is that the combination of erlotinib plus bevacizumab can improve the PFS in all subgroups.",https://clinicaltrials.gov/study/NCT01562028
"A Study to Learn More About How Well the Study Treatment Finerenone Works, How Safe it is, How it Moves Into, Through, and Out of the Body, and the Effects it Has on the Body When Taken With an ACE Inhibitor or Angiotensin Receptor Blocker in Children With Chronic Kidney Disease and Proteinuria","Researchers are looking for a better way to treat children who have chronic kidney disease (CKD), which is long-term kidney disease, and proteinuria, a condition in which a person´s kidneys leak protein into the urine.

The kidneys filter waste and fluid from the blood to form urine. In children with CKD, the kidney´s filters do not work as well as they should. This can lead to accumulation of waste and fluid in the body and proteinuria. CKD can lead to other medical problems, such as high blood pressure, also known as hypertension. Vice versa, hypertension and proteinuria can also contribute to worsening of CKD. Therefore, the treatment of CKD aims to control blood pressure and proteinuria. There are treatments available for doctors to prescribe to children with CKD and hypertension and/or proteinuria. These include ""angiotensin-converting enzyme inhibitors"" (ACEI) and ""angiotensin receptor blockers"" (ARB). Both ACEI and ARB can improve kidney function by helping the renin-angiotensin-aldosterone system (RAAS) to work normally. The RAAS is a system that works with the kidneys to control blood pressure and the balance of fluid and electrolytes in the blood. In people with CKD, the RAAS is often too active, which can stop the kidneys from working properly and cause hypertension and proteinuria. However, ACEI or ARB treatment alone does not work for all patients with CKD as they only target the angiotensin part of the renin-angiotensin-aldosterone system.

The study treatment, finerenone, is expected to help control RAAS overactivation together with an ACEI or ARB.

So, the researchers in this study want to learn more about whether finerenone given in addition to either an ACEI or ARB can help their kidney function.

The main purpose of this study is to learn more about whether finerenone added to either ACEI or ARB can help reduce the amount of protein in the participants' urine more than a placebo. A placebo looks like a treatment but does not have any medicine in it. Participants will also continue to receive their other medications.

To see how the treatment work, the doctors will take samples of the participants' urine to measure their protein levels before and during taking treatment and after their last treatment. In addition, blood samples will be taken to monitor kidney function, electrolytes and the amount of finerenone in the blood as well as for other tests.

This study will include children with CKD and proteinuria aged from 6 months up to less than 18 years. The participants will take:

* either finerenone or the placebo, in addition to
* either ACEI or ARB, whichever they take as part of their normal treatment

Two visits are required up to 104 days, to check whether a child can take part in the treatment phase of the study. If participants qualify for the treatment phase, they will then undergo treatment for about 180 days. During this time, they will visit the study site at least 7 times. During these visits, the participants will:

* have their blood pressure, heart rate, temperature, height and weight measured
* have blood and urine samples taken
* have physical examinations
* have their heart examined by an electrocardiogram and echocardiography (a sonogram of the heart)
* answer questions about their medication and whether they have any adverse events , or have their parents or guardians answer
* answer questions about how they are feeling, or have their parents or guardians answer
* answer question about how they like the study medication, or have their parents or guardians answer

The doctors will keep track of any adverse events. An adverse event is any medical problem that a participant has during a study. Doctors keep track of all adverse events that happen in studies, even if they do not think the adverse events might be related to the study treatments.

The doctors will check the participants' health about 30 days after the participants take their last treatment.",https://clinicaltrials.gov/study/NCT05196035
Herceptin (Trastuzumab) in Treating Women With Human Epidermal Growth Factor Receptor (HER) 2-Positive Primary Breast Cancer,"The purpose of this trial is to evaluate Herceptin treatment for 1 year and 2 years (versus observation/no Herceptin) in women with HER2-overexpressing primary breast cancer who have completed (neo-)adjuvant systemic chemotherapy, definitive surgery, and radiotherapy, if applicable. Efficacy and safety will be assessed for 10 years from randomization for each participant. All participants will continue to be followed for survival until 10 years after enrollment of the last participant.",https://clinicaltrials.gov/study/NCT00045032
Treatment of Resistant Hypertension Using a Radiofrequency Percutaneous Transluminal Angioplasty Catheter,The Study objective is to assess the performance of the Vessix V2 Renal Denervation System for the treatment of uncontrolled hypertension using an innovative percutaneous Radio Frequency (RF) balloon catheter renal denervation device.,https://clinicaltrials.gov/study/NCT01541865
A Study to Evaluate the Long-term Safety and Tolerability of Lucerastat in Adult Subjects With Fabry Disease,A study to determine the long-term safety and tolerability of oral lucerastat in adult subjects with Fabry disease. This study includes a sub-study evaluating kidney Gb3 inclusions (and other histologic lesions) in male participants with classic Fabry disease who have been treated for at least 2 years with lucerastat monotherapy in study ID-069A302.,https://clinicaltrials.gov/study/NCT03737214
A Study of Pertuzumab in Combination With Herceptin and Chemotherapy in Participants With HER2-Positive Breast Cancer,"This 3 arm study will assess the tolerability, safety and efficacy of 3 neoadjuvant treatment regimens in participants with locally advanced, inflammatory or early stage human epidermal growth factor receptor 2 (HER2)-positive breast cancer. Before surgery, participants will be randomized to receive either A) 6 cycles of pertuzumab plus trastuzumab (Herceptin), with 5-fluorouracil/epirubicin/cyclophosphamide (FEC) for cycles 1-3 and docetaxel for cycles 4-6, or B) FEC for cycles 1-3 followed by pertuzumab plus trastuzumab with docetaxel for cycles 4-6, or C) 6 cycles of pertuzumab plus trastuzumab with docetaxel and carboplatin. Pertuzumab will be administered at a loading dose of 840 mg intravenously (iv), then 420 mg iv 3-weekly, trastuzumab at a loading dose of 8 mg/kg iv, then 6 mg/kg iv 3-weekly, docetaxel at 75 mg/m\^2 iv, increased to 100 mg/m\^2 iv 3-weekly, and FEC and carboplatin iv 3-weekly at standard doses. Following surgery participants will receive trastuzumab 6 mg/kg iv 3-weekly for a total of 1 year, as well as adequate chemo-, radio- and hormone therapy. Anticipated time on study treatment is 4-12 months, and target sample size is 200-300.",https://clinicaltrials.gov/study/NCT00976989
"Long-term Efficacy, Safety and Tolerability of Iptacopan in C3G or IC-MPGN","This is an open-label extension study to evaluate the long-term efficacy, safety and tolerability of iptacopan in subjects with C3 glomerulopathy or idiopathic immune-complex-membranoproliferative glomerulonephritis",https://clinicaltrials.gov/study/NCT03955445
Protein Supplementation in Hyponatremia Due to the Syndrome of Inappropriate Antidiuresis,The goal of this study is to assess the impact of protein supplementation on hyponatremia caused by the syndrome of inappropriate antidiuresis during hospitalization.,https://clinicaltrials.gov/study/NCT06821802
